LocationID,LONGITUDE,LATITUDE,EventDate,DateRange,Autres_incendies,Sum_Autres_incendies,Incendie_de_batiments,Sum_Incendie_de_batiments,Premier_Repondant,Sum_Premier_Repondant,Sans_incendie,Sum_Sans_incendie,Crime,Sum_Crime,Alarmes_incendies,Sum_Alarmes_incendies,False_Alertes_Annulations,Sum_False_Alertes_Annulations,LookAHead,TotalFires,Couples_No_Children,CouplesWithChildren,SizeOF House,Detached_House,Appartment_FiveFloors,OtherType,Semi_detached,TownHouse,Duplex,Appartment_less_5Florrs,OtherDtached,MObileHome,LandLord,Renter,1_4Rooms,5_rooms,6_rooms,7_rooms,8_RoomsOrmore,Average_Rooms,Simple_Maintenance,Major_repairs,Median_house_value,Average_House_Value,AverageHouseholdIncome2015,MedianHouseholdIncome2015,Avg_flors,Avg_YearBuilt,Avg_LandArea,Avg_HomeArea,Fire_Y_N,Fire_next6Months_Y_N
-73.4795815349667_45.7017245897823,-73.479581534966700,45.701724589782300,2013-01-21,2012-07-23,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2013-07-22,0,6702.881739,7258.19521,2.204945753,4592.395628,1613.346135,23444.86308,2505.97517,1905.346179,2436.171345,16521.01896,68.69759904,10.40551306,14829.48549,14829.70687,13741.3882,6224.140316,3327.129364,2677.971194,3687.864976,5.061049636,27756.03751,1902.659291,299575.7387,317365.5217,66652.63211,54985.91525,1.475,1971.7,474.46875,151.575,0,0
-73.4795815349667_45.7017245897823,-73.479581534966700,45.701724589782300,2014-01-07,2013-07-09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2014-07-08,0,6702.881739,7258.19521,2.204945753,4592.395628,1613.346135,23444.86308,2505.97517,1905.346179,2436.171345,16521.01896,68.69759904,10.40551306,14829.48549,14829.70687,13741.3882,6224.140316,3327.129364,2677.971194,3687.864976,5.061049636,27756.03751,1902.659291,299575.7387,317365.5217,66652.63211,54985.91525,1.475,1971.7,474.46875,151.575,0,0
-73.4795815349667_45.7017245897823,-73.479581534966700,45.701724589782300,2014-10-28,2014-04-29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2015-04-28,0,6702.881739,7258.19521,2.204945753,4592.395628,1613.346135,23444.86308,2505.97517,1905.346179,2436.171345,16521.01896,68.69759904,10.40551306,14829.48549,14829.70687,13741.3882,6224.140316,3327.129364,2677.971194,3687.864976,5.061049636,27756.03751,1902.659291,299575.7387,317365.5217,66652.63211,54985.91525,1.475,1971.7,474.46875,151.575,0,0
-73.4795815349667_45.7017245897823,-73.479581534966700,45.701724589782300,2015-02-11,2014-08-13,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2015-08-12,0,6702.881739,7258.19521,2.204945753,4592.395628,1613.346135,23444.86308,2505.97517,1905.346179,2436.171345,16521.01896,68.69759904,10.40551306,14829.48549,14829.70687,13741.3882,6224.140316,3327.129364,2677.971194,3687.864976,5.061049636,27756.03751,1902.659291,299575.7387,317365.5217,66652.63211,54985.91525,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2009-04-26,2008-10-26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2009-10-25,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2009-06-30,2008-12-30,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2009-12-29,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2010-05-30,2009-11-29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2010-11-28,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2010-06-05,2009-12-05,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2010-12-04,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2010-06-19,2009-12-19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2010-12-18,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
-73.4796714373573_45.7016976114661,-73.479671437357300,45.701697611466100,2011-02-28,2010-08-30,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2011-08-29,0,6703.009717,7258.68298,2.204976636,4593.233063,1613.236554,23444.14003,2506.442141,1905.643519,2435.815942,16519.90162,68.68308918,10.40660953,14830.61763,14828.58105,13740.63744,6223.913562,3327.310046,2678.246148,3688.39253,5.061141887,27756.14391,1902.559117,299573.3075,317361.9313,66653.85097,54987.11046,1.475,1971.7,474.46875,151.575,0,0
